person,time_elapsed,number,type,slicer,gender
1,0,1,Banana,No,Male
2,1,2,Banana,No,Female
3,2,1,Orange,Yes,Male
4,2,1,Banana,No,Female
5,6,1,Apple,No,Female
6,7,2,Apple,No,Female
7,10,1,Apple,Yes,Female
8,14,1,Orange,Yes,Female
9,16,1,Apple,Yes,Female
10,17,1,Pear,No,Female
11,18,1,Banana,No,Male
12,18,1,Banana,Yes,Male
13,19,1,Banana,No,Male
14,20,1,Banana,No,Female
15,21,1,Banana,No,Female
16,26,2,Apple,No,Female
17,28,1,Banana,No,Female
18,30,1,Banana,No,Female
19,31,1,Apple,No,Male
20,33,1,Orange,Yes,Female
21,33,1,Orange,Yes,Male
22,34,2,Orange,Yes,Male
23,35,1,Banana,No,Male
24,36,1,Orange,No,Male
25,39,1,Banana,No,Male
26,39,1,Apple,Yes,Male
27,39,1,Banana,No,Male
28,40,1,Apple,Yes,Male
29,42,1,Orange,No,Female
30,42,1,Banana,No,Male
31,42,1,Apple,No,Female
32,43,1,Pear,No,Male
33,43,1,Banana,No,Female
34,44,1,Pear,No,Female
35,44,2,Pear,No,Female
36,44,1,Apple,No,Female
37,45,1,Banana,No,Female
38,45,1,Banana,No,Female
39,46,3,Apple,No,Female
40,50,1,Apple,Yes,Male
41,51,1,Orange,Yes,Male
42,54,1,Pear,No,Female
43,55,1,Apple,Yes,Male
44,56,1,Pear,No,Female
45,58,1,Apple,No,Male
46,59,1,Orange,No,Male
47,61,1,Banana,No,Male
48,61,1,Banana,No,Male
49,67,1,Pear,No,Female
50,67,1,Banana,No,Male
51,71,1,Pear,No,Female
52,73,1,Banana,No,Male
53,73,1,Apple,Yes,Male
54,73,1,Apple,Yes,Female
55,74,1,Banana,No,Male
56,81,1,Apple,No,Female
57,83,1,Banana,No,Female
58,84,1,Banana,No,Male
59,85,2,Apple,Yes,Male
60,86,1,Orange,Yes,Female
61,90,1,Banana,No,Female
62,91,1,Apple,Yes,Male
63,92,1,Apple,Yes,Female
64,92,1,Banana,No,Male
65,94,1,Pear,No,Female
66,96,1,Banana,No,Female
67,96,2,Orange,Yes,Male
68,97,2,Orange,Yes,Male
69,98,3,Orange,Yes,Male
70,100,1,Orange,Yes,Male
71,100,1,Orange,Yes,Male
72,101,1,Orange,No,Female
73,102,1,Banana,No,Female
74,103,2,Banana,Yes,Female
75,103,2,Banana,No,Male
