restaurant,rating,reviews,distance,zipcode
Carmelina's,4.5,888,0.3,02113
Giacomo's Ristorante,4,2869,0.3,02113
Bostonia Public House,4,887,0.1,02113
Trattoria II Panino,4,553,0.3,02113
Pomodoro,4.5,306,0.3,02113
Union Oyster House,3.5,2089,0.2,02113
Rigoletto Ristorante,4,181,0.2,02113
Panza,4,1066,0.3,02113
Al Dente,4,870,0.2,02113
Koy,4,322,0.05,02113
Pauli's,4.5,722,0.1,02113
Green Dragon Tavern,3.5,390,0.2,02113
La Familia Giorgio's,4,1050,0.2,02113
Boston Chowda,4,799,0.2,02113
Granary Tavern,3.5,512,0.1,02113
Limoncello,4,520,0.2,02113
North Street Grille,4,670,0.4,02113
Locale,4.5,277,0.4,02113
Cantina Italiana,4,390,0.4,02113
Monica's Mercato,4.5,335,0.3,02113
Rabia's,3.5,508,0.2,02113
Benevento's,4,358,0.2,02113
Parla,4,203,0.2,02113
Mother Anna's Restaurant,3.5,269,0.2,02113
Scopa,4.5,155,0.3,02113
The Salty Pig,4,1324,0.06,02116
Luke's Lobster,4.5,1059,0.3,02116
Off the Common,3.5,26,0.09,02116
The Friendly Toast,4,661,0.2,02116
The Beehive,3.5,1931,0.4,02116
Lolita Cocina,4,1574,0.3,02116
Dig Inn,4,351,0.1,02116
Bootleg Special,4,33,0.4,02116
Giacomo's,4,1053,0.3,02116
Parish Café,4,1274,0.05,02116
Precinct Kitchen,3.5,199,0.3,02116
Barcelona Wine Bar,4.5,782,0.4,02116
Piattini,4,690,0.2,02116
Gre.Co,4.5,245,0.2,02116
Earls Kitchen,4,222,0.1,02116
Coda,4,547,0.1,02116
Abby Lane Food,3.5,354,0.2,02116
Maggiano's Little Italy,3.5,735,0.2,02116
Beantown Pho,4,298,0.3,02116
Shabumaru,3.5,84,0.2,02116
Thinking Cup,4.5,612,0.3,02116
Buttermilk & Bourbon,3.5,214,0.2,02116
Moon Bar,4.5,24,0.2,02116
Joe's American Bar,3.5,759,0.2,02116
Citrus & Salt,3.5,76,0.3,02116
Tora Japanese Restaurant,4.5,75,0.2,02111
Amateras Ramen,4,118,0.2,02111
Shojo,4,663,0.2,02111
Double Chin,3.5,355,0.2,02111
Hot Eastern,4,129,0.2,02111
Q Restaurant,4,804,0.03,02111
Gourmet Dumpling House,3.5,1562,0.2,02111
Gaga Seafood,4,106,0.2,02111
Jm Curley,4,693,0.2,02111
BLR,4,190,0.2,02111
Hei La Moon,3.5,976,0.3,02111
Taiwan Café,3.5,963,0.2,02111
Shabu-Zen,4,790,0.2,02111
Back Deck,3,441,0.1,02111
Stoddard's Fine Food,3.5,518,0.1,02111
Dumpling Café,3.5,666,0.09,02111
Kaze Shabu Shabu,4,512,0.07,02111
New Golden Gate,3.5,267,0.2,02111
Peach Farm,3.5,460,0.2,02111
Penang,3.5,812,0.07,02111
Crave Mad for Chicken,3.5,461,0.2,02111
Irashai Sushi,4,378,0.1,02111
Gourmet China House,3.5,131,0.2,02111
Five Spices House,3,122,0.2,02111
New Jumbo Seafood,3.5,309,0.2,02111
Tapestry,4,154,0.4,02215
Audubon Boston,4,146,0.2,02215
Hojoko Boston,3.5,260,0.5,02215
Sojuba,4.5,71,0.5,02215
CAVA,4.5,30,0.4,02215
Sweet Cheeks Q,3.5,1299,0.3,02215
Eventide,4,104,0.4,02215
Basho Japanese Brasserie,3.5,472,0.4,02215
Wahlburgers,3,464,0.3,02215
Yard House,3.5,652,0.3,02215
Mei Mei Restaurant,4,237,0.2,02215
Sushi Kappo,4.5,28,0.4,02215
Thaitation,4,269,0.4,02215
Citizen Public House,3.5,549,0.4,02215
Saloniki Greek,4,322,0.3,02215
Cask'n Flagon,4,491,0.3,02215
Kaju Tofu House,4,38,0.08,02215
Jyuba,3.5,13,0.5,02215
Boston Beer Works,3.5,656,0.3,02215
Pho Countryside,4,76,0.1,02215
Boston Burger Company,4,663,0.1,02215
Tony C's Sports Bar,3.5,56,0.5,02215
Sol Azteca,3.5,322,0.09,02215
Sweetgreen,4,64,0.3,02215
Beacon Street Locale,4,38,0.4,02215
